uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
82754d24,56,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_024231_82754d24.jpg,1920,1080,1080p,2026-02-13T02:42:31.308Z,16.453469,120.590876,1358,15,3.2,1,63,-5,325,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
eba64cd4,56,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_024246_eba64cd4.jpg,1920,1080,1080p,2026-02-13T02:42:47.020Z,16.453436,120.590894,1360,4,3.9,1,44,14,122,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
3d9b2f07,56,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_024306_3d9b2f07.jpg,1920,1080,1080p,2026-02-13T02:43:06.121Z,16.453436,120.590894,1360,4,3.9,1,58,11,73,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
d6e813ab,56,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_024319_d6e813ab.jpg,1920,1080,1080p,2026-02-13T02:43:19.518Z,16.453436,120.590894,1360,4,3.9,1,54,19,99,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
2975446a,56,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_024343_2975446a.jpg,1920,1080,1080p,2026-02-13T02:43:43.239Z,16.453422,120.590880,1360,4,5.3,1,55,6,156,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
0a95c89e,60,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_025040_0a95c89e.jpg,1920,1080,1080p,2026-02-13T02:50:40.503Z,16.453422,120.590895,1360,17,3.5,1,58,17,348,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
a1b1f842,60,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_025046_a1b1f842.jpg,1920,1080,1080p,2026-02-13T02:50:46.977Z,16.453422,120.590895,1360,17,3.5,1,57,0,13,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
ece5a8b0,60,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_025055_ece5a8b0.jpg,1920,1080,1080p,2026-02-13T02:50:55.281Z,16.453422,120.590895,1360,17,3.5,1,54,10,113,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
e9c009bd,60,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_025102_e9c009bd.jpg,1920,1080,1080p,2026-02-13T02:51:02.080Z,16.453422,120.590895,1360,17,3.5,1,51,7,330,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
7be4ca03,60,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_025108_7be4ca03.jpg,1920,1080,1080p,2026-02-13T02:51:08.359Z,16.453422,120.590895,1360,17,3.5,1,48,26,20,Atok,Paoay,,cabbage,23.8,45,,realme_RMX3840_427162,field
