uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
698e1d93,1,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_010340_698e1d93.jpg,1280,720,720p,2026-02-13T01:03:40.780Z,16.453463,120.590834,1360,14,3.1,1,30,16,285,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
9ac9c1b1,1,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_010353_9ac9c1b1.jpg,1280,720,720p,2026-02-13T01:03:53.365Z,16.453434,120.590817,1358,6,3.8,1,59,18,100,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
dc19bba0,1,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_010403_dc19bba0.jpg,1280,720,720p,2026-02-13T01:04:03.349Z,16.453434,120.590840,1360,3,3.8,1,60,8,114,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
13fa3435,1,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_010415_13fa3435.jpg,1280,720,720p,2026-02-13T01:04:15.609Z,16.453447,120.590818,1360,14,9.9,1,43,8,255,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
dcf14726,1,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_010427_dcf14726.jpg,1280,720,720p,2026-02-13T01:04:27.711Z,16.453447,120.590818,1360,14,9.9,1,35,13,127,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
324ef269,2,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011101_324ef269.jpg,1280,720,720p,2026-02-13T01:11:01.213Z,16.453443,120.590811,1360,6,9.9,1,33,3,278,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
72d742a8,2,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011119_72d742a8.jpg,1280,720,720p,2026-02-13T01:11:19.668Z,16.453443,120.590811,1360,6,9.9,1,40,18,48,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
48a2ab5d,2,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011138_48a2ab5d.jpg,1280,720,720p,2026-02-13T01:11:38.783Z,16.453443,120.590811,1360,6,9.9,1,67,15,94,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
a821316f,2,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011202_a821316f.jpg,1280,720,720p,2026-02-13T01:12:02.690Z,16.453438,120.590829,1360,3,6.0,1,38,19,250,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
3d4ccc98,2,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011212_3d4ccc98.jpg,1280,720,720p,2026-02-13T01:12:12.083Z,16.453438,120.590829,1360,3,6.0,1,63,9,242,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
26970d07,4,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011439_26970d07.jpg,1280,720,720p,2026-02-13T01:14:39.061Z,16.453481,120.590855,1358,5,8.6,1,40,8,287,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
59f748d1,4,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011451_59f748d1.jpg,1280,720,720p,2026-02-13T01:14:51.190Z,16.453466,120.590866,1364,19,6.1,1,36,-1,75,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
85ae57bd,4,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011459_85ae57bd.jpg,1280,720,720p,2026-02-13T01:14:59.590Z,16.453466,120.590866,1364,19,6.1,1,50,10,278,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
6ec31502,4,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011512_6ec31502.jpg,1280,720,720p,2026-02-13T01:15:12.340Z,16.453447,120.590867,1362,19,4.8,1,37,15,244,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
f59d058d,4,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011541_f59d058d.jpg,1280,720,720p,2026-02-13T01:15:41.387Z,16.453431,120.590857,1360,10,4.6,1,38,18,85,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
b418ad9d,6,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011733_b418ad9d.jpg,1280,720,720p,2026-02-13T01:17:33.047Z,16.453424,120.590838,1368,3,5.5,1,53,2,301,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
68a5bfdd,6,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011741_68a5bfdd.jpg,1280,720,720p,2026-02-13T01:17:41.710Z,16.453424,120.590838,1368,3,5.5,1,57,-9,359,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
41ea0b74,6,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011800_41ea0b74.jpg,1280,720,720p,2026-02-13T01:18:00.974Z,16.453424,120.590838,1368,3,5.5,1,50,1,116,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
0235e64e,6,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011820_0235e64e.jpg,1280,720,720p,2026-02-13T01:18:21.075Z,16.453424,120.590838,1368,3,5.5,1,46,12,234,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
80d9a643,6,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011827_80d9a643.jpg,1280,720,720p,2026-02-13T01:18:28.055Z,16.453424,120.590838,1368,3,5.5,1,57,7,252,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
258bea1d,7,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012228_258bea1d.jpg,1280,720,720p,2026-02-13T01:22:28.969Z,16.453414,120.590803,1358,9,9.9,1,45,10,283,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
ec4306fb,7,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012258_ec4306fb.jpg,1280,720,720p,2026-02-13T01:22:58.312Z,16.453417,120.590822,1360,5,5.0,1,44,7,323,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
77772c5c,7,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012311_77772c5c.jpg,1280,720,720p,2026-02-13T01:23:11.780Z,16.453417,120.590822,1360,5,5.0,1,48,14,257,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
f83b4740,7,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012319_f83b4740.jpg,1280,720,720p,2026-02-13T01:23:19.130Z,16.453417,120.590822,1360,5,5.0,1,60,3,269,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
bd2bba72,7,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012339_bd2bba72.jpg,1280,720,720p,2026-02-13T01:23:39.851Z,16.453417,120.590841,1360,12,5.2,1,33,13,156,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
30855ed3,9,1,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_011955_30855ed3.jpg,1280,720,720p,2026-02-13T01:19:56.028Z,16.453424,120.590838,1368,3,5.5,1,40,-3,306,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
4e006146,9,2,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012005_4e006146.jpg,1280,720,720p,2026-02-13T01:20:05.196Z,16.453424,120.590838,1368,3,5.5,1,53,0,1,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
f118d4e0,9,3,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012032_f118d4e0.jpg,1280,720,720p,2026-02-13T01:20:32.376Z,16.453424,120.590838,1368,3,5.5,1,67,5,148,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
d549f452,9,4,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012055_d549f452.jpg,1280,720,720p,2026-02-13T01:20:56.017Z,16.453424,120.590838,1368,3,5.5,1,42,15,222,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
e3e69773,9,5,5,images/atok/paoay/no_farm/potato/atok_paoay_20260213_012115_e3e69773.jpg,1280,720,720p,2026-02-13T01:21:15.200Z,16.453424,120.590838,1368,3,5.5,1,55,13,168,Atok,Paoay,,potato,18.6,74,,realme_RMX3840_858067,field
5bda09b8,11,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_013251_5bda09b8.jpg,1920,1080,1080p,2026-02-13T01:32:51.331Z,16.453454,120.590843,1362,19,3.3,1,44,10,292,Atok,Paoay,,cabbage,19.1,72,,realme_RMX3840_858067,field
3d791955,11,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_013258_3d791955.jpg,1920,1080,1080p,2026-02-13T01:32:58.659Z,16.453454,120.590843,1362,19,3.3,1,58,-9,358,Atok,Paoay,,cabbage,19.1,72,,realme_RMX3840_858067,field
