uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
fd1cb8e3,3,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003420_fd1cb8e3.jpg,1080,1080,1080p,2026-01-21T00:34:20.370Z,16.453938,120.591540,1365,19,3.4,1,28,7,81,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
0dc8cdd8,3,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003425_0dc8cdd8.jpg,1080,1080,1080p,2026-01-21T00:34:25.473Z,16.453938,120.591540,1365,19,3.4,1,28,9,46,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
f1609858,3,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003433_f1609858.jpg,1080,1080,1080p,2026-01-21T00:34:33.538Z,16.453938,120.591540,1365,19,3.4,1,28,-3,130,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
2fc5eae0,3,4,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003437_2fc5eae0.jpg,1080,1080,1080p,2026-01-21T00:34:37.433Z,16.453938,120.591540,1365,19,3.4,1,29,-4,131,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
7ab9485a,3,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003450_7ab9485a.jpg,1080,1080,1080p,2026-01-21T00:34:50.250Z,16.453938,120.591540,1365,19,3.4,1,18,-4,303,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
2af289f7,3,6,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003453_2af289f7.jpg,1080,1080,1080p,2026-01-21T00:34:53.876Z,16.453938,120.591540,1365,19,3.4,1,21,-2,302,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
0458bc74,3,7,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003503_0458bc74.jpg,1080,1080,1080p,2026-01-21T00:35:03.376Z,16.453951,120.591527,1363,10,3.2,1,25,4,221,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
c4cd83c4,3,8,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003507_c4cd83c4.jpg,1080,1080,1080p,2026-01-21T00:35:07.295Z,16.453951,120.591527,1363,10,3.2,1,25,4,221,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
df2f7e59,3,9,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003514_df2f7e59.jpg,1080,1080,1080p,2026-01-21T00:35:14.287Z,16.453951,120.591527,1363,10,3.2,1,6,20,298,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
353c9f8e,3,10,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003531_353c9f8e.jpg,1080,1080,1080p,2026-01-21T00:35:31.482Z,16.453951,120.591527,1363,10,3.2,1,37,6,294,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",16.9,79,,realme_RMX3840_0FE2DF,field
9204a9b8,5,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_004129_9204a9b8.jpg,1080,1080,1080p,2026-01-21T00:41:29.043Z,16.453960,120.591679,1360,10,3.7,1,6,0,175,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",18.0,71,,realme_RMX3840_0FE2DF,field
020ef6fd,5,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_004140_020ef6fd.jpg,1080,1080,1080p,2026-01-21T00:41:40.865Z,16.453960,120.591679,1360,10,3.7,1,14,-1,121,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",18.0,71,,realme_RMX3840_0FE2DF,field
082546ed,5,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_004152_082546ed.jpg,1080,1080,1080p,2026-01-21T00:41:52.818Z,16.453946,120.591665,1359,5,3.6,1,24,-2,0,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",18.0,71,,realme_RMX3840_0FE2DF,field
fa7addeb,5,7,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_004202_fa7addeb.jpg,1080,1080,1080p,2026-01-21T00:42:02.595Z,16.453938,120.591647,1358,6,3.4,1,20,6,250,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese",18.0,71,,realme_RMX3840_0FE2DF,field
