uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
966c428c,26,1,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055122_966c428c.jpg,1080,1080,1080p,2026-01-21T05:51:22.585Z,,,,,,,5,2,200,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
8dc083e9,26,2,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055126_8dc083e9.jpg,1080,1080,1080p,2026-01-21T05:51:26.288Z,,,,,,,3,1,200,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
5ec913a8,26,3,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055130_5ec913a8.jpg,1080,1080,1080p,2026-01-21T05:51:30.228Z,,,,,,,4,1,201,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
1ae46667,26,4,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055135_1ae46667.jpg,1080,1080,1080p,2026-01-21T05:51:35.282Z,,,,,,,5,1,201,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
b355a0de,26,5,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055143_b355a0de.jpg,1080,1080,1080p,2026-01-21T05:51:43.716Z,,,,,,,27,-2,184,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
37af55aa,30,1,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055206_37af55aa.jpg,1080,1080,1080p,2026-01-21T05:52:06.450Z,,,,,,,5,-2,180,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
0b6f150f,30,2,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055209_0b6f150f.jpg,1080,1080,1080p,2026-01-21T05:52:09.834Z,,,,,,,5,-2,180,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
c1f471b5,30,3,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055213_c1f471b5.jpg,1080,1080,1080p,2026-01-21T05:52:13.201Z,,,,,,,4,-2,180,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
93cd42b2,30,4,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055221_93cd42b2.jpg,1080,1080,1080p,2026-01-21T05:52:21.803Z,,,,,,,30,-1,177,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
83ffe73a,30,5,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055226_83ffe73a.jpg,1080,1080,1080p,2026-01-21T05:52:26.922Z,,,,,,,40,-4,179,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
4d199e89,28,1,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055253_4d199e89.jpg,1080,1080,1080p,2026-01-21T05:52:53.997Z,,,,,,,3,-1,187,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
73c38fc5,28,2,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055257_73c38fc5.jpg,1080,1080,1080p,2026-01-21T05:52:57.597Z,,,,,,,4,-1,187,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
472a2f6d,28,3,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055300_472a2f6d.jpg,1080,1080,1080p,2026-01-21T05:53:00.751Z,,,,,,,4,-2,187,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
15192f96,28,4,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055304_15192f96.jpg,1080,1080,1080p,2026-01-21T05:53:04.309Z,,,,,,,4,-2,185,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
3bab4c53,28,5,5,images/2026/01/21/latrinidad_betag_bsuback_20260121_055310_3bab4c53.jpg,1080,1080,1080p,2026-01-21T05:53:10.068Z,,,,,,,36,1,175,La Trinidad,Betag,BSU Back,pechay,,,,realme_RMX3840_0FE2DF,controlled
