uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
64f8fc74,20,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014319_64f8fc74.jpg,1920,1080,1080p,2026-02-13T01:43:19.115Z,16.453234,120.590998,1360,6,98.4,1,29,-1,345,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
078698c9,20,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014326_078698c9.jpg,1920,1080,1080p,2026-02-13T01:43:26.576Z,16.453425,120.590791,1360,4,313.0,1,22,3,342,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
9debee81,20,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014333_9debee81.jpg,1920,1080,1080p,2026-02-13T01:43:33.163Z,16.453539,120.590868,1360,4,24.5,1,12,4,343,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
6835f131,20,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014339_6835f131.jpg,1920,1080,1080p,2026-02-13T01:43:39.987Z,16.453539,120.590868,1360,4,24.5,1,2,4,346,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
14f5bad6,20,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014347_14f5bad6.jpg,1920,1080,1080p,2026-02-13T01:43:48.027Z,16.453523,120.590701,1360,5,35.0,1,27,0,300,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
2ab982d9,22,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014435_2ab982d9.jpg,1920,1080,1080p,2026-02-13T01:44:35.730Z,16.453579,120.590570,1358,9,28.5,1,33,-1,324,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
8a6d667b,22,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014441_8a6d667b.jpg,1920,1080,1080p,2026-02-13T01:44:41.991Z,16.453567,120.590842,1358,7,49.5,1,21,1,330,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
540041d1,22,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014448_540041d1.jpg,1920,1080,1080p,2026-02-13T01:44:48.701Z,16.453567,120.590842,1358,7,49.5,1,11,2,330,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
0782f9dc,22,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014455_0782f9dc.jpg,1920,1080,1080p,2026-02-13T01:44:55.643Z,16.453533,120.590727,1358,7,40.5,1,2,0,334,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
1cd27615,22,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014504_1cd27615.jpg,1920,1080,1080p,2026-02-13T01:45:04.174Z,16.453174,120.591098,1360,9,98.4,1,30,0,288,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
6ff39026,23,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014550_6ff39026.jpg,1920,1080,1080p,2026-02-13T01:45:50.887Z,16.453474,120.590928,1358,6,39.0,1,33,0,343,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
93331dd3,23,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014557_93331dd3.jpg,1920,1080,1080p,2026-02-13T01:45:57.418Z,16.453474,120.590928,1358,6,39.0,1,19,-1,345,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
8ef0563c,23,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014603_8ef0563c.jpg,1920,1080,1080p,2026-02-13T01:46:03.402Z,16.453353,120.590984,1360,5,18.5,1,8,1,350,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
8b4d8f40,23,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014609_8b4d8f40.jpg,1920,1080,1080p,2026-02-13T01:46:09.697Z,16.453353,120.590984,1360,5,18.5,1,0,1,354,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
8a6543f3,23,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014617_8a6543f3.jpg,1920,1080,1080p,2026-02-13T01:46:17.076Z,16.453528,120.590831,1358,5,50.7,1,33,-4,300,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
6868ef6e,25,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014659_6868ef6e.jpg,1920,1080,1080p,2026-02-13T01:46:59.579Z,16.453332,120.591048,1380,19,38.5,1,28,0,348,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
bc788627,25,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014707_bc788627.jpg,1920,1080,1080p,2026-02-13T01:47:07.598Z,16.453332,120.591048,1380,19,38.5,1,23,-1,349,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
95107b3a,25,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014715_95107b3a.jpg,1920,1080,1080p,2026-02-13T01:47:15.437Z,16.453430,120.591020,1360,19,27.0,1,12,0,354,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
46cc94c5,25,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014723_46cc94c5.jpg,1920,1080,1080p,2026-02-13T01:47:23.850Z,16.453215,120.590999,1358,9,98.4,1,2,-1,356,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
5128d871,25,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_014732_5128d871.jpg,1920,1080,1080p,2026-02-13T01:47:32.759Z,16.453413,120.590699,1358,9,293.5,1,32,0,296,Atok,Paoay,,cabbage,22.7,49,,samsung_SM-A546E_DF7DBC,field
