uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
a4fe9aba,92,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_002929_a4fe9aba.jpg,1920,1080,1080p,2026-02-06T00:29:29.469Z,16.630285,120.758957,2421,6,6.0,1,11,-5,43,Atok,Paoay,,cabbage,17.0,51,,samsung_SM-A546E_DF7DBC,field
f1c6d406,92,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_002935_f1c6d406.jpg,1920,1080,1080p,2026-02-06T00:29:35.768Z,16.630285,120.758957,2421,6,6.0,1,11,-4,12,Atok,Paoay,,cabbage,17.0,51,,samsung_SM-A546E_DF7DBC,field
6cd4ba36,92,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_002941_6cd4ba36.jpg,1920,1080,1080p,2026-02-06T00:29:41.921Z,16.630285,120.758957,2421,6,6.0,1,3,-8,151,Atok,Paoay,,cabbage,17.0,51,,samsung_SM-A546E_DF7DBC,field
73528ca0,92,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_002948_73528ca0.jpg,1920,1080,1080p,2026-02-06T00:29:48.218Z,16.630285,120.758957,2421,6,6.0,1,3,0,268,Atok,Paoay,,cabbage,17.0,51,,samsung_SM-A546E_DF7DBC,field
ae0fb0e4,92,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_002954_ae0fb0e4.jpg,1920,1080,1080p,2026-02-06T00:29:54.166Z,16.630285,120.758957,2421,6,6.0,1,29,-4,38,Atok,Paoay,,cabbage,17.0,51,,samsung_SM-A546E_DF7DBC,field
bc23dbe6,95,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003050_bc23dbe6.jpg,1920,1080,1080p,2026-02-06T00:30:50.742Z,16.630357,120.758886,2425,12,7.0,1,10,3,152,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
3d4315d1,95,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003057_3d4315d1.jpg,1920,1080,1080p,2026-02-06T00:30:57.556Z,16.630357,120.758886,2425,12,7.0,1,9,-3,346,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
cb84986b,95,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003106_cb84986b.jpg,1920,1080,1080p,2026-02-06T00:31:06.453Z,16.630357,120.758886,2425,12,7.0,1,6,2,329,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
ecbe2d21,95,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003113_ecbe2d21.jpg,1920,1080,1080p,2026-02-06T00:31:13.839Z,16.630357,120.758886,2425,12,7.0,1,4,2,331,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
0e08a21d,95,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003134_0e08a21d.jpg,1920,1080,1080p,2026-02-06T00:31:34.060Z,16.630357,120.758886,2425,12,7.0,1,17,0,113,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
40b7858b,100,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003636_40b7858b.jpg,1920,1080,1080p,2026-02-06T00:36:36.806Z,16.630489,120.758788,2415,4,3.3,1,6,3,185,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
430d1865,100,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003643_430d1865.jpg,1920,1080,1080p,2026-02-06T00:36:43.685Z,16.630489,120.758788,2415,4,3.3,1,14,11,192,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
1f5d548c,100,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003650_1f5d548c.jpg,1920,1080,1080p,2026-02-06T00:36:50.583Z,16.630489,120.758788,2415,4,3.3,1,16,3,188,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
9b48613c,100,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003657_9b48613c.jpg,1920,1080,1080p,2026-02-06T00:36:57.241Z,16.630482,120.758771,2416,2,3.0,1,5,-2,224,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
1763dbb3,100,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_003704_1763dbb3.jpg,1920,1080,1080p,2026-02-06T00:37:04.094Z,16.630482,120.758771,2416,2,3.0,1,22,-6,203,Atok,Paoay,,cabbage,18.7,45,,samsung_SM-A546E_DF7DBC,field
7cb8f985,107,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024449_7cb8f985.jpg,1920,1080,1080p,2026-02-06T02:44:49.706Z,16.630826,120.759615,2407,6,4.8,1,8,-3,257,Atok,Paoay,,cabbage,16.6,30,,samsung_SM-A546E_DF7DBC,field
27e3d45b,107,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024455_27e3d45b.jpg,1920,1080,1080p,2026-02-06T02:44:55.815Z,16.630826,120.759615,2407,6,4.8,1,24,-5,238,Atok,Paoay,,cabbage,16.6,30,,samsung_SM-A546E_DF7DBC,field
5d7eb999,107,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024502_5d7eb999.jpg,1920,1080,1080p,2026-02-06T02:45:03.033Z,16.630826,120.759615,2407,6,4.8,1,9,12,156,Atok,Paoay,,cabbage,16.6,30,,samsung_SM-A546E_DF7DBC,field
d37f1461,107,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024510_d37f1461.jpg,1920,1080,1080p,2026-02-06T02:45:10.298Z,16.630826,120.759615,2407,6,4.8,1,17,2,250,Atok,Paoay,,cabbage,16.6,30,,samsung_SM-A546E_DF7DBC,field
34c67ad0,107,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024518_34c67ad0.jpg,1920,1080,1080p,2026-02-06T02:45:18.438Z,16.630826,120.759615,2407,6,4.8,1,14,-2,250,Atok,Paoay,,cabbage,16.6,30,,samsung_SM-A546E_DF7DBC,field
5c2a1516,111,1,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_024812_5c2a1516.jpg,1920,1080,1080p,2026-02-06T02:48:12.617Z,16.631004,120.759803,2416,3,3.0,1,11,-3,159,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
50b0584a,111,2,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_024819_50b0584a.jpg,1920,1080,1080p,2026-02-06T02:48:19.760Z,16.631011,120.759783,2411,3,3.0,1,11,-11,242,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
7f54cd59,111,3,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_024830_7f54cd59.jpg,1920,1080,1080p,2026-02-06T02:48:30.668Z,16.631011,120.759783,2411,3,3.0,1,-8,6,156,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
79f89f17,111,4,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_024839_79f89f17.jpg,1920,1080,1080p,2026-02-06T02:48:39.087Z,16.631011,120.759783,2411,3,3.0,1,15,2,84,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
3f86e3db,111,5,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_024846_3f86e3db.jpg,1920,1080,1080p,2026-02-06T02:48:46.932Z,16.631011,120.759783,2411,3,3.0,1,21,-8,114,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
4b87f24f,113,1,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025111_4b87f24f.jpg,1920,1080,1080p,2026-02-06T02:51:11.972Z,16.630944,120.759847,2442,29,7.5,1,3,-5,98,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
8eaedf41,113,2,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025122_8eaedf41.jpg,1920,1080,1080p,2026-02-06T02:51:22.661Z,16.630944,120.759847,2442,29,7.5,1,14,-2,258,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
66091a06,113,3,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025129_66091a06.jpg,1920,1080,1080p,2026-02-06T02:51:29.600Z,16.630944,120.759847,2442,29,7.5,1,20,-6,309,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
be04f7ab,113,4,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025136_be04f7ab.jpg,1920,1080,1080p,2026-02-06T02:51:36.058Z,16.630944,120.759847,2442,29,7.5,1,25,-6,290,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
278ac3c6,113,5,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025159_278ac3c6.jpg,1920,1080,1080p,2026-02-06T02:51:59.281Z,16.630944,120.759847,2442,29,7.5,1,16,5,45,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
cb04c1bc,117,1,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025630_cb04c1bc.jpg,1920,1080,1080p,2026-02-06T02:56:30.473Z,16.631070,120.760060,2415,12,8.5,1,-28,-14,291,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
49495393,117,2,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025637_49495393.jpg,1920,1080,1080p,2026-02-06T02:56:37.160Z,16.631070,120.760060,2415,12,8.5,1,21,-13,4,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
6dd4e089,117,3,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025646_6dd4e089.jpg,1920,1080,1080p,2026-02-06T02:56:46.543Z,16.631070,120.760060,2415,12,8.5,1,35,-1,298,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
9cf8a8c3,117,4,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025654_9cf8a8c3.jpg,1920,1080,1080p,2026-02-06T02:56:54.818Z,16.631070,120.760060,2415,12,8.5,1,15,-2,204,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
136eb9cd,117,5,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_025701_136eb9cd.jpg,1920,1080,1080p,2026-02-06T02:57:01.716Z,16.631070,120.760060,2415,12,8.5,1,27,-3,206,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
ca702814,119,1,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_030009_ca702814.jpg,1920,1080,1080p,2026-02-06T03:00:09.193Z,16.630902,120.760063,2422,12,7.5,1,11,-2,227,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
424e4c85,119,2,5,images/atok/paoay/no_farm/carrot/atok_paoay_20260206_030016_424e4c85.jpg,1920,1080,1080p,2026-02-06T03:00:16.571Z,16.630909,120.760045,2397,14,6.5,1,22,-1,299,Atok,Paoay,,carrot,16.6,30,,samsung_SM-A546E_DF7DBC,field
