uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
80caf325,151,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041722_80caf325.jpg,1920,1080,1080p,2026-02-06T04:17:22.286Z,16.622860,120.757058,2433,6,3.5,1,9,-1,198,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
308c306c,151,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041728_308c306c.jpg,1920,1080,1080p,2026-02-06T04:17:28.903Z,16.622860,120.757058,2433,6,3.5,1,17,1,243,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
5be52175,151,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041735_5be52175.jpg,1920,1080,1080p,2026-02-06T04:17:35.924Z,16.622877,120.757067,2423,3,3.0,1,27,-17,313,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
f5b08c78,151,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041743_f5b08c78.jpg,1920,1080,1080p,2026-02-06T04:17:43.916Z,16.622897,120.757073,2422,3,3.0,1,34,-2,226,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
4d5eaadf,151,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041752_4d5eaadf.jpg,1920,1080,1080p,2026-02-06T04:17:52.740Z,16.622897,120.757073,2422,3,3.0,1,21,16,225,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
d8afb776,153,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041851_d8afb776.jpg,1920,1080,1080p,2026-02-06T04:18:51.808Z,16.622985,120.757020,2426,16,4.7,1,21,9,170,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
d21804cc,153,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041858_d21804cc.jpg,1920,1080,1080p,2026-02-06T04:18:58.248Z,16.622985,120.757020,2426,16,4.7,1,22,-2,57,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
9c8236cf,153,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041904_9c8236cf.jpg,1920,1080,1080p,2026-02-06T04:19:04.590Z,16.622985,120.757020,2426,16,4.7,1,8,-10,155,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
c9e4769e,153,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041910_c9e4769e.jpg,1920,1080,1080p,2026-02-06T04:19:10.250Z,16.622985,120.757020,2426,16,4.7,1,3,1,129,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
bd353a0c,153,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_041918_bd353a0c.jpg,1920,1080,1080p,2026-02-06T04:19:18.324Z,16.622985,120.757020,2426,16,4.7,1,34,7,174,Atok,Paoay,,cabbage,21.3,30,,samsung_SM-A546E_DF7DBC,field
