uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
aeeed204,1,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003127_aeeed204.jpg,1080,1080,1080p,2026-01-21T00:31:27.435Z,16.453933,120.591581,1363,6,3.3,1,18,-8,4,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
a18676dc,1,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003130_a18676dc.jpg,1080,1080,1080p,2026-01-21T00:31:30.356Z,16.453933,120.591581,1363,6,3.3,1,18,1,355,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
f781136b,1,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003133_f781136b.jpg,1080,1080,1080p,2026-01-21T00:31:33.202Z,16.453933,120.591581,1363,6,3.3,1,18,26,346,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
7cfb041f,1,4,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003137_7cfb041f.jpg,1080,1080,1080p,2026-01-21T00:31:37.907Z,16.453933,120.591581,1363,6,3.3,1,38,33,331,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
db27f1eb,1,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003140_db27f1eb.jpg,1080,1080,1080p,2026-01-21T00:31:40.736Z,16.453933,120.591581,1363,6,3.3,1,46,32,342,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
96bf360c,1,6,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003144_96bf360c.jpg,1080,1080,1080p,2026-01-21T00:31:44.907Z,16.453933,120.591581,1363,6,3.3,1,39,-18,8,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
112ef8c4,1,7,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003149_112ef8c4.jpg,1080,1080,1080p,2026-01-21T00:31:49.926Z,16.453933,120.591581,1363,6,3.3,1,20,-43,325,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
1275bf50,1,8,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003200_1275bf50.jpg,1080,1080,1080p,2026-01-21T00:32:00.437Z,16.453933,120.591581,1363,6,3.3,1,43,11,99,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
7abe8ee7,1,9,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003203_7abe8ee7.jpg,1080,1080,1080p,2026-01-21T00:32:03.762Z,16.453933,120.591581,1363,6,3.3,1,20,51,72,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
fb7138ab,1,10,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003211_fb7138ab.jpg,1080,1080,1080p,2026-01-21T00:32:11.445Z,16.453933,120.591581,1363,6,3.3,1,15,-6,356,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
6c88ac7d,2,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003253_6c88ac7d.jpg,1080,1080,1080p,2026-01-21T00:32:53.239Z,16.453927,120.591525,1359,2,3.0,1,24,33,301,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
334240c9,2,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003256_334240c9.jpg,1080,1080,1080p,2026-01-21T00:32:56.622Z,16.453922,120.591506,1358,15,3.0,1,23,33,294,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
ab7d4593,2,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003300_ab7d4593.jpg,1080,1080,1080p,2026-01-21T00:33:00.045Z,16.453922,120.591506,1358,15,3.0,1,30,37,329,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
89dd44c7,2,4,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003304_89dd44c7.jpg,1080,1080,1080p,2026-01-21T00:33:04.403Z,16.453922,120.591506,1358,15,3.0,1,15,-46,3,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
7a20fcfe,2,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003309_7a20fcfe.jpg,1080,1080,1080p,2026-01-21T00:33:09.890Z,16.453922,120.591506,1358,15,3.0,1,12,52,110,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
2a6889bd,2,6,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003313_2a6889bd.jpg,1080,1080,1080p,2026-01-21T00:33:13.683Z,16.453922,120.591506,1358,15,3.0,1,16,-50,199,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
c169c15d,2,7,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_003316_c169c15d.jpg,1080,1080,1080p,2026-01-21T00:33:16.708Z,16.453922,120.591506,1358,15,3.0,1,18,-41,200,La Trinidad,Balili,BSU Back,"cabbage,custom_chinese_cabbage",16.9,79,,TECNO_TECNO_CM8_5EAA20,field
