uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
0ffbec8b,50,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021459_0ffbec8b.jpg,1080,1080,1080p,2026-01-21T02:14:59.443Z,16.452820,120.591569,1363,15,3.0,1,17,-12,269,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
a100377c,50,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021503_a100377c.jpg,1080,1080,1080p,2026-01-21T02:15:03.803Z,16.452820,120.591569,1363,15,3.0,1,41,-9,269,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
b885cce6,50,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021506_b885cce6.jpg,1080,1080,1080p,2026-01-21T02:15:06.507Z,16.452820,120.591569,1363,15,3.0,1,32,-12,270,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
d5959e40,50,4,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021509_d5959e40.jpg,1080,1080,1080p,2026-01-21T02:15:09.784Z,16.452820,120.591569,1363,15,3.0,1,6,-40,297,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
ed56698c,50,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021517_ed56698c.jpg,1080,1080,1080p,2026-01-21T02:15:17.305Z,16.452820,120.591569,1363,15,3.0,1,38,-26,121,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
c187129c,50,6,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021520_c187129c.jpg,1080,1080,1080p,2026-01-21T02:15:20.353Z,16.452820,120.591569,1363,15,3.0,1,33,-29,120,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
cb14e652,50,7,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021531_cb14e652.jpg,1080,1080,1080p,2026-01-21T02:15:31.356Z,16.452820,120.591569,1363,15,3.0,1,46,-33,110,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
1d3d3960,50,8,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021535_1d3d3960.jpg,1080,1080,1080p,2026-01-21T02:15:35.428Z,16.452820,120.591569,1363,15,3.0,1,36,-6,110,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
fd2d0000,50,9,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021546_fd2d0000.jpg,1080,1080,1080p,2026-01-21T02:15:46.812Z,16.452820,120.591569,1363,15,3.0,1,37,1,109,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
fbdbbfbb,50,10,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_021634_fbdbbfbb.jpg,1080,1080,1080p,2026-01-21T02:16:34.932Z,16.452842,120.591570,1363,8,3.1,1,27,1,250,La Trinidad,Balili,BSU Back,corn,19.2,58,,TECNO_TECNO_CM8_5EAA20,field
f69f0b99,51,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022429_f69f0b99.jpg,1080,1080,1080p,2026-01-21T02:24:29.507Z,16.452707,120.591732,1363,19,3.0,1,14,-29,358,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
f8f9bb79,51,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022435_f8f9bb79.jpg,1080,1080,1080p,2026-01-21T02:24:35.521Z,16.452725,120.591722,1363,19,3.0,1,45,1,348,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
97afcd16,51,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022453_97afcd16.jpg,1080,1080,1080p,2026-01-21T02:24:53.696Z,16.452707,120.591720,1363,4,3.0,1,39,7,125,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
99f6f364,51,4,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022456_99f6f364.jpg,1080,1080,1080p,2026-01-21T02:24:56.746Z,16.452707,120.591720,1363,4,3.0,1,39,2,128,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
d670e686,51,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022508_d670e686.jpg,1080,1080,1080p,2026-01-21T02:25:08.681Z,16.452728,120.591699,1363,9,3.0,1,36,-3,144,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
74d0fae2,51,6,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022511_74d0fae2.jpg,1080,1080,1080p,2026-01-21T02:25:11.912Z,16.452728,120.591699,1363,9,3.0,1,40,-6,150,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
986d4e6a,51,7,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022518_986d4e6a.jpg,1080,1080,1080p,2026-01-21T02:25:18.513Z,16.452728,120.591699,1363,9,3.0,1,40,-13,160,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
14bb9dac,51,8,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022528_14bb9dac.jpg,1080,1080,1080p,2026-01-21T02:25:28.186Z,16.452728,120.591699,1363,9,3.0,1,40,-8,148,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
d9d00d45,51,9,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022539_d9d00d45.jpg,1080,1080,1080p,2026-01-21T02:25:39.566Z,16.452728,120.591699,1363,9,3.0,1,8,-24,358,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
b508c34c,51,10,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022543_b508c34c.jpg,1080,1080,1080p,2026-01-21T02:25:43.072Z,16.452728,120.591699,1363,9,3.0,1,5,-20,357,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
fe4689e1,52,1,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022702_fe4689e1.jpg,1080,1080,1080p,2026-01-21T02:27:03.019Z,16.452773,120.591600,1360,6,3.7,1,39,-5,76,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
6e2811fa,52,2,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022711_6e2811fa.jpg,1080,1080,1080p,2026-01-21T02:27:11.048Z,16.452773,120.591600,1360,6,3.7,1,31,-2,179,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
29c942a7,52,3,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022714_29c942a7.jpg,1080,1080,1080p,2026-01-21T02:27:14.215Z,16.452773,120.591600,1360,6,3.7,1,34,-1,177,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
4c91393d,52,4,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022718_4c91393d.jpg,1080,1080,1080p,2026-01-21T02:27:18.532Z,16.452773,120.591600,1360,6,3.7,1,12,-1,177,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
93e65e92,52,5,10,images/2026/01/21/latrinidad_balili_bsuback_20260121_022721_93e65e92.jpg,1080,1080,1080p,2026-01-21T02:27:21.699Z,16.452773,120.591600,1360,6,3.7,1,9,29,162,La Trinidad,Balili,BSU Back,corn,19.4,58,,TECNO_TECNO_CM8_5EAA20,field
