uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
a542c8ce,70,1,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233813_a542c8ce.jpg,1920,1080,1080p,2026-02-05T23:38:14.298Z,16.629740,120.760100,2426,19,1.7,1,17,-5,326,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
ee4123d5,70,2,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233817_ee4123d5.jpg,1920,1080,1080p,2026-02-05T23:38:18.026Z,16.629740,120.760100,2426,19,1.7,1,13,-8,329,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
574ed42a,70,3,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233821_574ed42a.jpg,1920,1080,1080p,2026-02-05T23:38:22.346Z,16.629740,120.760100,2426,19,1.7,1,20,-4,330,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
2ab2dcfd,70,4,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233826_2ab2dcfd.jpg,1920,1080,1080p,2026-02-05T23:38:26.977Z,16.629740,120.760100,2426,19,1.7,1,21,3,322,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
655350f9,70,5,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233836_655350f9.jpg,1920,1080,1080p,2026-02-05T23:38:36.577Z,16.629740,120.760100,2426,19,1.7,1,25,-8,331,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
916d253b,71,1,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233858_916d253b.jpg,1920,1080,1080p,2026-02-05T23:38:59.161Z,16.629740,120.760100,2426,19,1.7,1,20,-19,152,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
a042b2f3,71,2,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233908_a042b2f3.jpg,1920,1080,1080p,2026-02-05T23:39:09.580Z,16.629740,120.760100,2426,19,1.7,1,15,-23,161,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
201d42db,71,3,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233915_201d42db.jpg,1920,1080,1080p,2026-02-05T23:39:15.430Z,16.629740,120.760100,2426,19,1.7,1,9,-4,147,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
f087367a,71,4,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233920_f087367a.jpg,1920,1080,1080p,2026-02-05T23:39:20.649Z,16.629740,120.760100,2426,19,1.7,1,27,-13,156,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
e079d418,71,5,5,images/atok/paoay/no_farm/mixed_crops/atok_paoay_20260205_233929_e079d418.jpg,1920,1080,1080p,2026-02-05T23:39:29.684Z,16.629740,120.760100,2426,19,1.7,1,48,-17,169,Atok,Paoay,,"cabbage,custom_chinese_cabbage",8.4,57,,TECNO_TECNO_CM8_2703FE,field
