uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
ed6fc014,50,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020214_ed6fc014.jpg,1920,1080,1080p,2026-02-13T02:02:15.292Z,16.453517,120.590899,1358,6,3.4,1,3,-11,122,Atok,Paoay,,cabbage,19.7,70,,TECNO_TECNO_CM8_2703FE,field
a60e8ff8,50,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020233_a60e8ff8.jpg,1920,1080,1080p,2026-02-13T02:02:33.710Z,16.453398,120.590812,1360,10,5.1,1,57,42,277,Atok,Paoay,,cabbage,19.7,70,,TECNO_TECNO_CM8_2703FE,field
368f12ab,50,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020243_368f12ab.jpg,1920,1080,1080p,2026-02-13T02:02:43.826Z,16.453394,120.590862,1363,14,3.1,1,47,-4,295,Atok,Paoay,,cabbage,22.7,49,,TECNO_TECNO_CM8_2703FE,field
83a87945,50,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020250_83a87945.jpg,1920,1080,1080p,2026-02-13T02:02:51.193Z,16.453396,120.590889,1360,17,3.2,1,59,1,357,Atok,Paoay,,cabbage,22.7,49,,TECNO_TECNO_CM8_2703FE,field
95a6baee,50,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020324_95a6baee.jpg,1920,1080,1080p,2026-02-13T02:03:24.837Z,16.453399,120.590902,1358,3,3.0,1,45,4,340,Atok,Paoay,,cabbage,19.7,70,,TECNO_TECNO_CM8_2703FE,field
6bc77824,51,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020641_6bc77824.jpg,1920,1080,1080p,2026-02-13T02:06:41.979Z,16.453375,120.590934,1360,3,6.8,1,39,-4,118,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
42b6ed46,51,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020655_42b6ed46.jpg,1920,1080,1080p,2026-02-13T02:06:55.579Z,16.453401,120.590871,1358,3,4.6,1,42,-43,180,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
aa967836,51,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020703_aa967836.jpg,1920,1080,1080p,2026-02-13T02:07:03.823Z,16.453419,120.590867,1358,3,4.2,1,42,2,305,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
7abbb413,51,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020712_7abbb413.jpg,1920,1080,1080p,2026-02-13T02:07:13.374Z,16.453427,120.590843,1360,5,3.0,1,51,15,307,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
77dbbeda,51,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020727_77dbbeda.jpg,1920,1080,1080p,2026-02-13T02:07:27.483Z,16.453427,120.590843,1360,5,3.0,1,10,-4,25,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
67233c6f,52,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020923_67233c6f.jpg,1920,1080,1080p,2026-02-13T02:09:23.799Z,16.453402,120.591229,1358,3,20.8,1,22,12,293,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
758f733d,52,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020929_758f733d.jpg,1920,1080,1080p,2026-02-13T02:09:29.536Z,16.453424,120.591048,1358,3,3.6,1,29,6,295,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
cf2bca1e,52,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020945_cf2bca1e.jpg,1920,1080,1080p,2026-02-13T02:09:45.829Z,16.453396,120.590983,1360,3,3.4,1,22,3,85,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
f5153a2f,52,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020953_f5153a2f.jpg,1920,1080,1080p,2026-02-13T02:09:53.562Z,16.453405,120.590944,1360,2,3.7,1,38,31,264,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
b6e803cd,52,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_020959_b6e803cd.jpg,1920,1080,1080p,2026-02-13T02:09:59.779Z,16.453401,120.590921,1360,5,3.9,1,45,12,281,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
cb266dec,53,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_021121_cb266dec.jpg,1920,1080,1080p,2026-02-13T02:11:22.156Z,16.453443,120.590377,1358,14,5.4,1,36,-12,337,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
79610d58,53,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_021159_79610d58.jpg,1920,1080,1080p,2026-02-13T02:11:59.632Z,16.453441,120.590857,1360,3,3.2,1,48,7,86,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
fc894f12,53,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_021210_fc894f12.jpg,1920,1080,1080p,2026-02-13T02:12:10.864Z,16.453430,120.590872,1360,4,3.0,1,3,-21,193,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
5eb5fbbc,53,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_021220_5eb5fbbc.jpg,1920,1080,1080p,2026-02-13T02:12:20.782Z,16.453430,120.590872,1360,4,3.0,1,33,-26,165,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
a6279151,53,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260213_021233_a6279151.jpg,1920,1080,1080p,2026-02-13T02:12:34.034Z,16.453430,120.590872,1360,4,3.0,1,4,-18,196,Atok,Paoay,,cabbage,19.7,69,,TECNO_TECNO_CM8_2703FE,field
