uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
9f7bba72,104,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024041_9f7bba72.jpg,1920,1080,1080p,2026-02-06T02:40:41.575Z,16.631002,120.759422,2442,27,1.6,1,43,4,77,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
b822d96b,104,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024045_b822d96b.jpg,1920,1080,1080p,2026-02-06T02:40:45.390Z,16.631002,120.759422,2442,27,1.6,1,50,5,55,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
c5c6c78b,104,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024049_c5c6c78b.jpg,1920,1080,1080p,2026-02-06T02:40:50.201Z,16.631002,120.759422,2442,27,1.6,1,55,26,33,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
8eab076f,104,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024055_8eab076f.jpg,1920,1080,1080p,2026-02-06T02:40:56.136Z,16.631002,120.759422,2442,27,1.6,1,22,-17,158,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
2919648b,104,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024100_2919648b.jpg,1920,1080,1080p,2026-02-06T02:41:00.787Z,16.631002,120.759422,2442,27,1.6,1,55,-8,119,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
9aabee06,105,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024204_9aabee06.jpg,1920,1080,1080p,2026-02-06T02:42:04.940Z,16.631002,120.759422,2442,27,1.6,1,29,8,198,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
7a3ecaed,105,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024209_7a3ecaed.jpg,1920,1080,1080p,2026-02-06T02:42:09.848Z,16.631087,120.759445,2442,28,5.9,1,40,-8,164,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
35ad87f5,105,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024213_35ad87f5.jpg,1920,1080,1080p,2026-02-06T02:42:14.045Z,16.631082,120.759488,2442,29,4.2,1,27,-16,196,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
a9151513,105,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024217_a9151513.jpg,1920,1080,1080p,2026-02-06T02:42:18.658Z,16.631082,120.759488,2442,29,4.2,1,27,2,250,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
39a10891,105,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024222_39a10891.jpg,1920,1080,1080p,2026-02-06T02:42:23.206Z,16.631105,120.759487,2442,29,4.5,1,57,-40,215,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
ba59eb68,108,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024404_ba59eb68.jpg,1920,1080,1080p,2026-02-06T02:44:05.028Z,16.630857,120.759663,2442,30,2.7,1,27,0,346,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
229003ed,108,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024413_229003ed.jpg,1920,1080,1080p,2026-02-06T02:44:14.568Z,16.630853,120.759677,2442,30,3.4,1,-18,-16,24,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
d57b9faa,108,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024418_d57b9faa.jpg,1920,1080,1080p,2026-02-06T02:44:18.832Z,16.630851,120.759703,2442,30,3.3,1,-12,-9,15,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
a03375ac,108,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024422_a03375ac.jpg,1920,1080,1080p,2026-02-06T02:44:22.964Z,16.630851,120.759703,2442,30,3.3,1,-12,-7,16,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
2cb2224f,108,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_024435_2cb2224f.jpg,1920,1080,1080p,2026-02-06T02:44:36.310Z,16.630851,120.759703,2442,30,3.3,1,-15,-13,177,Atok,Paoay,,cabbage,16.6,30,,TECNO_TECNO_CM8_2703FE,field
