uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
308e5d2d,165,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045257_308e5d2d.jpg,1920,1080,1080p,2026-02-06T04:52:58.117Z,16.622862,120.758331,2432,13,2.2,1,37,-14,233,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
4a6e59f2,165,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045301_4a6e59f2.jpg,1920,1080,1080p,2026-02-06T04:53:02.025Z,16.622954,120.758317,2422,35,4.6,1,29,6,210,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
69b98559,165,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045307_69b98559.jpg,1920,1080,1080p,2026-02-06T04:53:07.608Z,16.623040,120.758340,2422,8,2.8,1,41,-21,266,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
de7a355b,165,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045312_de7a355b.jpg,1920,1080,1080p,2026-02-06T04:53:12.846Z,16.623040,120.758340,2422,8,2.8,1,47,-13,229,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
9c0f518a,165,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045328_9c0f518a.jpg,1920,1080,1080p,2026-02-06T04:53:28.918Z,16.623007,120.758350,2422,31,3.0,1,6,-14,170,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
ca14a19b,166,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045543_ca14a19b.jpg,1920,1080,1080p,2026-02-06T04:55:44.292Z,16.623003,120.758223,2436,17,1.6,1,-6,-42,250,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
71566258,166,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045557_71566258.jpg,1920,1080,1080p,2026-02-06T04:55:57.791Z,16.622962,120.758218,2442,27,1.5,1,-15,-12,252,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
39f8e121,166,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045601_39f8e121.jpg,1920,1080,1080p,2026-02-06T04:56:01.672Z,16.622962,120.758218,2442,27,1.5,1,-8,-27,237,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
4e078f51,166,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045639_4e078f51.jpg,1920,1080,1080p,2026-02-06T04:56:40.324Z,16.622962,120.758218,2442,27,1.5,1,1,-58,26,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
44b60c6f,166,5,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_045656_44b60c6f.jpg,1920,1080,1080p,2026-02-06T04:56:57.359Z,16.622962,120.758218,2442,27,1.5,1,36,33,248,Atok,Paoay,,carrot,21.7,27,,TECNO_TECNO_CM8_2703FE,field
0e97491f,171,1,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_051346_0e97491f.jpg,1920,1080,1080p,2026-02-06T05:13:47.034Z,16.623860,120.757994,2410,21,3.1,1,31,2,240,Atok,Paoay,,cabbage,21.5,28,,TECNO_TECNO_CM8_2703FE,field
5d778c89,171,2,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_051351_5d778c89.jpg,1920,1080,1080p,2026-02-06T05:13:52.140Z,16.623860,120.757994,2410,21,3.1,1,33,15,193,Atok,Paoay,,cabbage,21.5,28,,TECNO_TECNO_CM8_2703FE,field
13229594,171,3,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_051402_13229594.jpg,1920,1080,1080p,2026-02-06T05:14:03.229Z,16.623889,120.758001,2399,19,3.6,1,25,9,194,Atok,Paoay,,cabbage,21.5,28,,TECNO_TECNO_CM8_2703FE,field
a6cce91e,171,4,5,images/atok/paoay/no_farm/cabbage/atok_paoay_20260206_051430_a6cce91e.jpg,1920,1080,1080p,2026-02-06T05:14:31.248Z,16.623889,120.758001,2399,19,3.6,1,35,16,213,Atok,Paoay,,cabbage,21.5,28,,TECNO_TECNO_CM8_2703FE,field
